Year,Sex,Cancer_Type,Aust_Mortality_to_incidence_ratio,Segi_Mortality_to_incidence_ratio,WHO_Mortality_to_incidence_ratio
1978,Male,Lung cancer,,,
1979,Male,Lung cancer,,,
1980,Male,Lung cancer,,,
1981,Male,Lung cancer,,,
1982,Male,Lung cancer,0.93,0.89,0.91
1983,Male,Lung cancer,0.91,0.89,0.9
1984,Male,Lung cancer,0.91,0.88,0.89
1985,Male,Lung cancer,0.92,0.89,0.91
1986,Male,Lung cancer,0.91,0.88,0.89
1987,Male,Lung cancer,0.88,0.86,0.86
1988,Male,Lung cancer,0.95,0.92,0.93
1989,Male,Lung cancer,0.95,0.91,0.93
1990,Male,Lung cancer,0.87,0.85,0.86
1991,Male,Lung cancer,0.9,0.86,0.88
1992,Male,Lung cancer,0.92,0.89,0.9
1993,Male,Lung cancer,0.9,0.88,0.89
1994,Male,Lung cancer,0.91,0.88,0.89
1995,Male,Lung cancer,0.92,0.88,0.9
1996,Male,Lung cancer,0.9,0.87,0.88
1997,Male,Lung cancer,0.85,0.82,0.83
1998,Male,Lung cancer,0.88,0.85,0.86
1999,Male,Lung cancer,0.87,0.84,0.85
2000,Male,Lung cancer,0.86,0.83,0.84
2001,Male,Lung cancer,0.86,0.84,0.84
2002,Male,Lung cancer,0.87,0.84,0.85
2003,Male,Lung cancer,0.84,0.82,0.83
2004,Male,Lung cancer,0.81,0.78,0.79
2005,Male,Lung cancer,0.81,0.78,0.79
2006,Male,Lung cancer,0.77,0.75,0.76
2007,Male,Lung cancer,0.8,0.77,0.78
2008,Male,Lung cancer,0.82,0.79,0.8
2009,Male,Lung cancer,0.79,0.76,0.77
2010,Male,Lung cancer,0.79,0.76,0.77
2011,Male,Lung cancer,,,
1968,Female,Lung cancer,,,
1969,Female,Lung cancer,,,
1970,Female,Lung cancer,,,
1971,Female,Lung cancer,,,
1972,Female,Lung cancer,,,
1973,Female,Lung cancer,,,
1974,Female,Lung cancer,,,
1975,Female,Lung cancer,,,
1976,Female,Lung cancer,,,
1977,Female,Lung cancer,,,
1978,Female,Lung cancer,,,
1979,Female,Lung cancer,,,
1980,Female,Lung cancer,,,
1981,Female,Lung cancer,,,
1982,Female,Lung cancer,0.85,0.83,0.84
1983,Female,Lung cancer,0.89,0.87,0.87
1984,Female,Lung cancer,0.86,0.83,0.84
1985,Female,Lung cancer,0.87,0.84,0.85
1986,Female,Lung cancer,0.86,0.83,0.84
1987,Female,Lung cancer,0.8,0.77,0.78
1988,Female,Lung cancer,0.87,0.85,0.86
1989,Female,Lung cancer,0.86,0.84,0.85
1990,Female,Lung cancer,0.81,0.79,0.8
1991,Female,Lung cancer,0.86,0.84,0.85
1992,Female,Lung cancer,0.85,0.81,0.82
1993,Female,Lung cancer,0.82,0.8,0.81
1994,Female,Lung cancer,0.84,0.82,0.83
1995,Female,Lung cancer,0.85,0.82,0.83
1996,Female,Lung cancer,0.83,0.8,0.81
1997,Female,Lung cancer,0.8,0.77,0.78
1998,Female,Lung cancer,0.79,0.77,0.78
1999,Female,Lung cancer,0.81,0.78,0.79
2000,Female,Lung cancer,0.81,0.77,0.78
2001,Female,Lung cancer,0.8,0.78,0.79
2002,Female,Lung cancer,0.8,0.77,0.78
2003,Female,Lung cancer,0.81,0.77,0.79
2004,Female,Lung cancer,0.75,0.71,0.73
2005,Female,Lung cancer,0.76,0.71,0.73
2006,Female,Lung cancer,0.74,0.73,0.73
2007,Female,Lung cancer,0.76,0.73,0.74
2008,Female,Lung cancer,0.71,0.67,0.68
2009,Female,Lung cancer,0.71,0.68,0.69
2010,Female,Lung cancer,0.77,0.73,0.75
2011,Female,Lung cancer,,,
1968,Persons,Lung cancer,,,
1969,Persons,Lung cancer,,,
1970,Persons,Lung cancer,,,
1971,Persons,Lung cancer,,,
1972,Persons,Lung cancer,,,
1973,Persons,Lung cancer,,,
1974,Persons,Lung cancer,,,
1975,Persons,Lung cancer,,,
1976,Persons,Lung cancer,,,
1977,Persons,Lung cancer,,,
1978,Persons,Lung cancer,,,
1979,Persons,Lung cancer,,,
1980,Persons,Lung cancer,,,
1981,Persons,Lung cancer,,,
1982,Persons,Lung cancer,0.9,0.87,0.88
1983,Persons,Lung cancer,0.9,0.88,0.89
1984,Persons,Lung cancer,0.89,0.86,0.87
1985,Persons,Lung cancer,0.91,0.88,0.89
1986,Persons,Lung cancer,0.89,0.86,0.87
1987,Persons,Lung cancer,0.86,0.83,0.84
1988,Persons,Lung cancer,0.92,0.9,0.91
1989,Persons,Lung cancer,0.91,0.89,0.9
1990,Persons,Lung cancer,0.85,0.83,0.83
1991,Persons,Lung cancer,0.88,0.85,0.86
1992,Persons,Lung cancer,0.89,0.86,0.87
1993,Persons,Lung cancer,0.87,0.85,0.86
1994,Persons,Lung cancer,0.88,0.86,0.87
1995,Persons,Lung cancer,0.89,0.86,0.87
1996,Persons,Lung cancer,0.87,0.84,0.85
1997,Persons,Lung cancer,0.83,0.8,0.81
1998,Persons,Lung cancer,0.85,0.82,0.83
1999,Persons,Lung cancer,0.84,0.82,0.83
2000,Persons,Lung cancer,0.84,0.81,0.82
2001,Persons,Lung cancer,0.84,0.81,0.82
2002,Persons,Lung cancer,0.84,0.81,0.83
2003,Persons,Lung cancer,0.82,0.8,0.81
2004,Persons,Lung cancer,0.78,0.75,0.76
2005,Persons,Lung cancer,0.79,0.75,0.77
2006,Persons,Lung cancer,0.76,0.74,0.74
2007,Persons,Lung cancer,0.78,0.76,0.77
2008,Persons,Lung cancer,0.77,0.74,0.75
2009,Persons,Lung cancer,0.76,0.73,0.74
2010,Persons,Lung cancer,0.78,0.74,0.76
2011,Persons,Lung cancer,,,
1968,Male,Melanoma of the skin,,,
1969,Male,Melanoma of the skin,,,
1970,Male,Melanoma of the skin,,,
1971,Male,Melanoma of the skin,,,
1972,Male,Melanoma of the skin,,,
1973,Male,Melanoma of the skin,,,
1974,Male,Melanoma of the skin,,,
1975,Male,Melanoma of the skin,,,
1976,Male,Melanoma of the skin,,,
1977,Male,Melanoma of the skin,,,
1978,Male,Melanoma of the skin,,,
1979,Male,Melanoma of the skin,,,
1980,Male,Melanoma of the skin,,,
1981,Male,Melanoma of the skin,,,
1982,Male,Melanoma of the skin,0.23,0.22,0.22
1983,Male,Melanoma of the skin,0.21,0.2,0.2
1984,Male,Melanoma of the skin,0.21,0.2,0.2
1985,Male,Melanoma of the skin,0.19,0.18,0.18
1986,Male,Melanoma of the skin,0.19,0.17,0.18
1987,Male,Melanoma of the skin,0.2,0.17,0.18
1988,Male,Melanoma of the skin,0.16,0.15,0.15
1989,Male,Melanoma of the skin,0.17,0.16,0.16
1990,Male,Melanoma of the skin,0.17,0.16,0.16
1991,Male,Melanoma of the skin,0.17,0.16,0.16
1992,Male,Melanoma of the skin,0.16,0.14,0.14
1993,Male,Melanoma of the skin,0.16,0.15,0.16
1994,Male,Melanoma of the skin,0.17,0.15,0.15
1995,Male,Melanoma of the skin,0.16,0.14,0.14
1996,Male,Melanoma of the skin,0.14,0.13,0.13
1997,Male,Melanoma of the skin,0.13,0.12,0.12
1998,Male,Melanoma of the skin,0.15,0.13,0.13
1999,Male,Melanoma of the skin,0.14,0.13,0.13
2000,Male,Melanoma of the skin,0.13,0.11,0.12
2001,Male,Melanoma of the skin,0.14,0.13,0.13
2002,Male,Melanoma of the skin,0.14,0.12,0.12
2003,Male,Melanoma of the skin,0.14,0.13,0.13
2004,Male,Melanoma of the skin,0.15,0.13,0.14
2005,Male,Melanoma of the skin,0.15,0.13,0.13
2006,Male,Melanoma of the skin,0.14,0.12,0.12
2007,Male,Melanoma of the skin,0.15,0.13,0.14
2008,Male,Melanoma of the skin,0.15,0.13,0.14
2009,Male,Melanoma of the skin,0.15,0.13,0.13
2010,Male,Melanoma of the skin,0.15,0.13,0.14
2011,Male,Melanoma of the skin,,,
1968,Female,Melanoma of the skin,,,
1969,Female,Melanoma of the skin,,,
1970,Female,Melanoma of the skin,,,
1971,Female,Melanoma of the skin,,,
1972,Female,Melanoma of the skin,,,
1973,Female,Melanoma of the skin,,,
1974,Female,Melanoma of the skin,,,
1975,Female,Melanoma of the skin,,,
1976,Female,Melanoma of the skin,,,
1977,Female,Melanoma of the skin,,,
1978,Female,Melanoma of the skin,,,
1979,Female,Melanoma of the skin,,,
1980,Female,Melanoma of the skin,,,
1981,Female,Melanoma of the skin,,,
1982,Female,Melanoma of the skin,0.12,0.11,0.11
1983,Female,Melanoma of the skin,0.14,0.12,0.12
1984,Female,Melanoma of the skin,0.12,0.11,0.11
1985,Female,Melanoma of the skin,0.12,0.11,0.11
1986,Female,Melanoma of the skin,0.12,0.1,0.11
1987,Female,Melanoma of the skin,0.11,0.09,0.1
1988,Female,Melanoma of the skin,0.1,0.09,0.09
1989,Female,Melanoma of the skin,0.11,0.09,0.1
1990,Female,Melanoma of the skin,0.12,0.1,0.11
1991,Female,Melanoma of the skin,0.11,0.09,0.1
1992,Female,Melanoma of the skin,0.11,0.1,0.1
1993,Female,Melanoma of the skin,0.09,0.07,0.08
1994,Female,Melanoma of the skin,0.09,0.08,0.08
1995,Female,Melanoma of the skin,0.1,0.09,0.09
1996,Female,Melanoma of the skin,0.09,0.08,0.08
1997,Female,Melanoma of the skin,0.08,0.08,0.08
1998,Female,Melanoma of the skin,0.09,0.08,0.08
1999,Female,Melanoma of the skin,0.1,0.08,0.09
2000,Female,Melanoma of the skin,0.09,0.08,0.08
2001,Female,Melanoma of the skin,0.1,0.08,0.08
2002,Female,Melanoma of the skin,0.07,0.06,0.06
2003,Female,Melanoma of the skin,0.09,0.08,0.08
2004,Female,Melanoma of the skin,0.09,0.07,0.08
2005,Female,Melanoma of the skin,0.08,0.07,0.07
2006,Female,Melanoma of the skin,0.1,0.09,0.09
2007,Female,Melanoma of the skin,0.09,0.08,0.08
2008,Female,Melanoma of the skin,0.09,0.08,0.08
2009,Female,Melanoma of the skin,0.09,0.08,0.08
2010,Female,Melanoma of the skin,0.09,0.08,0.08
2011,Female,Melanoma of the skin,,,
1968,Persons,Melanoma of the skin,,,
1969,Persons,Melanoma of the skin,,,
1970,Persons,Melanoma of the skin,,,
1971,Persons,Melanoma of the skin,,,
1972,Persons,Melanoma of the skin,,,
1973,Persons,Melanoma of the skin,,,
1974,Persons,Melanoma of the skin,,,
1975,Persons,Melanoma of the skin,,,
1976,Persons,Melanoma of the skin,,,
1977,Persons,Melanoma of the skin,,,
1978,Persons,Melanoma of the skin,,,
1979,Persons,Melanoma of the skin,,,
1980,Persons,Melanoma of the skin,,,
1981,Persons,Melanoma of the skin,,,
1982,Persons,Melanoma of the skin,0.18,0.16,0.16
1983,Persons,Melanoma of the skin,0.17,0.16,0.16
1984,Persons,Melanoma of the skin,0.16,0.15,0.15
1985,Persons,Melanoma of the skin,0.16,0.14,0.15
1986,Persons,Melanoma of the skin,0.15,0.14,0.14
1987,Persons,Melanoma of the skin,0.15,0.13,0.14
1988,Persons,Melanoma of the skin,0.13,0.12,0.12
1989,Persons,Melanoma of the skin,0.14,0.13,0.13
1990,Persons,Melanoma of the skin,0.15,0.13,0.14
1991,Persons,Melanoma of the skin,0.14,0.13,0.13
1992,Persons,Melanoma of the skin,0.14,0.12,0.12
1993,Persons,Melanoma of the skin,0.13,0.12,0.12
1994,Persons,Melanoma of the skin,0.13,0.12,0.12
1995,Persons,Melanoma of the skin,0.13,0.11,0.12
1996,Persons,Melanoma of the skin,0.12,0.1,0.11
1997,Persons,Melanoma of the skin,0.11,0.1,0.1
1998,Persons,Melanoma of the skin,0.12,0.11,0.11
1999,Persons,Melanoma of the skin,0.12,0.11,0.11
2000,Persons,Melanoma of the skin,0.11,0.1,0.1
2001,Persons,Melanoma of the skin,0.12,0.11,0.11
2002,Persons,Melanoma of the skin,0.11,0.09,0.1
2003,Persons,Melanoma of the skin,0.12,0.1,0.11
2004,Persons,Melanoma of the skin,0.12,0.11,0.11
2005,Persons,Melanoma of the skin,0.12,0.1,0.1
2006,Persons,Melanoma of the skin,0.12,0.1,0.11
2007,Persons,Melanoma of the skin,0.12,0.11,0.11
2008,Persons,Melanoma of the skin,0.12,0.11,0.11
2009,Persons,Melanoma of the skin,0.12,0.11,0.11
2010,Persons,Melanoma of the skin,0.12,0.11,0.11
2011,Persons,Melanoma of the skin,,,
1968,Male,Mesothelioma,,,
1969,Male,Mesothelioma,,,
1970,Male,Mesothelioma,,,
1971,Male,Mesothelioma,,,
1972,Male,Mesothelioma,,,
1973,Male,Mesothelioma,,,
1974,Male,Mesothelioma,,,
1975,Male,Mesothelioma,,,
1976,Male,Mesothelioma,,,
1977,Male,Mesothelioma,,,
1978,Male,Mesothelioma,,,
1979,Male,Mesothelioma,,,
1980,Male,Mesothelioma,,,
1981,Male,Mesothelioma,,,
1982,Male,Mesothelioma,0,0,0
1983,Male,Mesothelioma,0,0,0
1984,Male,Mesothelioma,0,0,0
1985,Male,Mesothelioma,0,0,0
1986,Male,Mesothelioma,0,0,0
1987,Male,Mesothelioma,0,0,0
1988,Male,Mesothelioma,0,0,0
1989,Male,Mesothelioma,0,0,0
1990,Male,Mesothelioma,0,0,0
1991,Male,Mesothelioma,0,0,0
1992,Male,Mesothelioma,0,0,0
1993,Male,Mesothelioma,0,0,0
1994,Male,Mesothelioma,0,0,0
1995,Male,Mesothelioma,0,0,0
1996,Male,Mesothelioma,0,0,0
1997,Male,Mesothelioma,0.91,0.9,0.9
1998,Male,Mesothelioma,0.89,0.85,0.86
1999,Male,Mesothelioma,0.84,0.84,0.84
2000,Male,Mesothelioma,0.94,0.9,0.92
2001,Male,Mesothelioma,0.93,0.94,0.93
2002,Male,Mesothelioma,0.89,0.89,0.89
2003,Male,Mesothelioma,0.8,0.77,0.78
2004,Male,Mesothelioma,0.9,0.87,0.89
2005,Male,Mesothelioma,0.89,0.86,0.88
2006,Male,Mesothelioma,0.81,0.77,0.78
2007,Male,Mesothelioma,0.88,0.88,0.88
2008,Male,Mesothelioma,0.88,0.87,0.87
2009,Male,Mesothelioma,0.87,0.86,0.87
2010,Male,Mesothelioma,0.96,0.91,0.94
2011,Male,Mesothelioma,,,
1968,Female,Mesothelioma,,,
1969,Female,Mesothelioma,,,
1970,Female,Mesothelioma,,,
1971,Female,Mesothelioma,,,
1972,Female,Mesothelioma,,,
1973,Female,Mesothelioma,,,
1974,Female,Mesothelioma,,,
1975,Female,Mesothelioma,,,
1976,Female,Mesothelioma,,,
1977,Female,Mesothelioma,,,
1978,Female,Mesothelioma,,,
1979,Female,Mesothelioma,,,
1980,Female,Mesothelioma,,,
1981,Female,Mesothelioma,,,
1982,Female,Mesothelioma,0,0,0
1983,Female,Mesothelioma,0,0,0
1984,Female,Mesothelioma,0,0,0
1985,Female,Mesothelioma,0,0,0
1986,Female,Mesothelioma,0,0,0
1987,Female,Mesothelioma,0,0,0
1988,Female,Mesothelioma,0,0,0
1989,Female,Mesothelioma,0,0,0
1990,Female,Mesothelioma,0,0,0
1991,Female,Mesothelioma,0,0,0
1992,Female,Mesothelioma,0,0,0
1993,Female,Mesothelioma,0,0,0
1994,Female,Mesothelioma,0,0,0
1995,Female,Mesothelioma,0,0,0
1996,Female,Mesothelioma,0,0,0
1997,Female,Mesothelioma,0.82,0.74,0.76
1998,Female,Mesothelioma,0.71,0.66,0.68
1999,Female,Mesothelioma,0.75,0.79,0.77
2000,Female,Mesothelioma,0.8,0.76,0.78
2001,Female,Mesothelioma,0.78,0.75,0.75
2002,Female,Mesothelioma,0.79,0.79,0.79
2003,Female,Mesothelioma,0.75,0.72,0.74
2004,Female,Mesothelioma,0.91,0.83,0.86
2005,Female,Mesothelioma,0.82,0.8,0.8
2006,Female,Mesothelioma,0.84,0.81,0.81
2007,Female,Mesothelioma,0.82,0.78,0.79
2008,Female,Mesothelioma,1.01,1.04,1.02
2009,Female,Mesothelioma,0.86,0.86,0.86
2010,Female,Mesothelioma,0.93,0.9,0.9
2011,Female,Mesothelioma,,,
1968,Persons,Mesothelioma,,,
1969,Persons,Mesothelioma,,,
1970,Persons,Mesothelioma,,,
1971,Persons,Mesothelioma,,,
1972,Persons,Mesothelioma,,,
1973,Persons,Mesothelioma,,,
1974,Persons,Mesothelioma,,,
1975,Persons,Mesothelioma,,,
1976,Persons,Mesothelioma,,,
1977,Persons,Mesothelioma,,,
1978,Persons,Mesothelioma,,,
1979,Persons,Mesothelioma,,,
1980,Persons,Mesothelioma,,,
1981,Persons,Mesothelioma,,,
1982,Persons,Mesothelioma,0,0,0
1983,Persons,Mesothelioma,0,0,0
1984,Persons,Mesothelioma,0,0,0
1985,Persons,Mesothelioma,0,0,0
1986,Persons,Mesothelioma,0,0,0
1987,Persons,Mesothelioma,0,0,0
1988,Persons,Mesothelioma,0,0,0
1989,Persons,Mesothelioma,0,0,0
1990,Persons,Mesothelioma,0,0,0
1991,Persons,Mesothelioma,0,0,0
1992,Persons,Mesothelioma,0,0,0
1993,Persons,Mesothelioma,0,0,0
1994,Persons,Mesothelioma,0,0,0
1995,Persons,Mesothelioma,0,0,0
1996,Persons,Mesothelioma,0,0,0
1997,Persons,Mesothelioma,0.89,0.87,0.88
1998,Persons,Mesothelioma,0.85,0.81,0.83
1999,Persons,Mesothelioma,0.82,0.83,0.83
2000,Persons,Mesothelioma,0.91,0.87,0.89
2001,Persons,Mesothelioma,0.9,0.91,0.9
2002,Persons,Mesothelioma,0.87,0.87,0.87
2003,Persons,Mesothelioma,0.78,0.75,0.76
2004,Persons,Mesothelioma,0.9,0.86,0.88
2005,Persons,Mesothelioma,0.88,0.84,0.86
2006,Persons,Mesothelioma,0.81,0.77,0.78
2007,Persons,Mesothelioma,0.87,0.86,0.86
2008,Persons,Mesothelioma,0.9,0.89,0.89
2009,Persons,Mesothelioma,0.87,0.86,0.86
2010,Persons,Mesothelioma,0.95,0.9,0.92
2011,Persons,Mesothelioma,,,
1968,Male,Myeloma,,,
1969,Male,Myeloma,,,
1970,Male,Myeloma,,,
1971,Male,Myeloma,,,
1972,Male,Myeloma,,,
1973,Male,Myeloma,,,
1974,Male,Myeloma,,,
1975,Male,Myeloma,,,
1976,Male,Myeloma,,,
1977,Male,Myeloma,,,
1978,Male,Myeloma,,,
1979,Male,Myeloma,,,
1980,Male,Myeloma,,,
1981,Male,Myeloma,,,
1982,Male,Myeloma,0.65,0.57,0.6
1983,Male,Myeloma,0.75,0.68,0.71
1984,Male,Myeloma,0.79,0.73,0.75
1985,Male,Myeloma,0.76,0.75,0.75
1986,Male,Myeloma,0.81,0.75,0.77
1987,Male,Myeloma,0.68,0.67,0.68
1988,Male,Myeloma,0.65,0.62,0.63
1989,Male,Myeloma,0.76,0.69,0.72
1990,Male,Myeloma,0.75,0.7,0.72
1991,Male,Myeloma,0.73,0.64,0.68
1992,Male,Myeloma,0.7,0.64,0.66
1993,Male,Myeloma,0.7,0.63,0.65
1994,Male,Myeloma,0.68,0.65,0.66
1995,Male,Myeloma,0.67,0.63,0.64
1996,Male,Myeloma,0.67,0.63,0.64
1997,Male,Myeloma,0.65,0.61,0.62
1998,Male,Myeloma,0.57,0.53,0.54
1999,Male,Myeloma,0.6,0.54,0.56
2000,Male,Myeloma,0.61,0.57,0.59
2001,Male,Myeloma,0.54,0.48,0.5
2002,Male,Myeloma,0.62,0.56,0.58
2003,Male,Myeloma,0.62,0.57,0.59
2004,Male,Myeloma,0.64,0.57,0.59
2005,Male,Myeloma,0.6,0.53,0.56
2006,Male,Myeloma,0.57,0.51,0.53
2007,Male,Myeloma,0.52,0.48,0.5
2008,Male,Myeloma,0.61,0.54,0.57
2009,Male,Myeloma,0.52,0.46,0.48
2010,Male,Myeloma,0.59,0.51,0.54
2011,Male,Myeloma,,,
1968,Female,Myeloma,,,
1969,Female,Myeloma,,,
1970,Female,Myeloma,,,
1971,Female,Myeloma,,,
1972,Female,Myeloma,,,
1973,Female,Myeloma,,,
1974,Female,Myeloma,,,
1975,Female,Myeloma,,,
1976,Female,Myeloma,,,
1977,Female,Myeloma,,,
1978,Female,Myeloma,,,
1979,Female,Myeloma,,,
1980,Female,Myeloma,,,
1981,Female,Myeloma,,,
1982,Female,Myeloma,0.65,0.61,0.62
1983,Female,Myeloma,0.64,0.55,0.59
1984,Female,Myeloma,0.67,0.65,0.66
1985,Female,Myeloma,0.66,0.62,0.63
1986,Female,Myeloma,0.73,0.67,0.69
1987,Female,Myeloma,0.73,0.67,0.69
1988,Female,Myeloma,0.86,0.81,0.83
1989,Female,Myeloma,0.62,0.57,0.58
1990,Female,Myeloma,0.66,0.6,0.62
1991,Female,Myeloma,0.72,0.66,0.68
1992,Female,Myeloma,0.74,0.67,0.7
1993,Female,Myeloma,0.72,0.65,0.67
1994,Female,Myeloma,0.83,0.82,0.82
1995,Female,Myeloma,0.56,0.51,0.53
1996,Female,Myeloma,0.63,0.61,0.61
1997,Female,Myeloma,0.62,0.56,0.58
1998,Female,Myeloma,0.59,0.57,0.57
1999,Female,Myeloma,0.54,0.45,0.49
2000,Female,Myeloma,0.61,0.57,0.58
2001,Female,Myeloma,0.63,0.56,0.58
2002,Female,Myeloma,0.62,0.55,0.58
2003,Female,Myeloma,0.61,0.55,0.57
2004,Female,Myeloma,0.65,0.58,0.6
2005,Female,Myeloma,0.51,0.47,0.48
2006,Female,Myeloma,0.57,0.49,0.52
2007,Female,Myeloma,0.58,0.5,0.53
2008,Female,Myeloma,0.64,0.56,0.59
2009,Female,Myeloma,0.48,0.44,0.45
2010,Female,Myeloma,0.53,0.47,0.49
2011,Female,Myeloma,,,
1968,Persons,Myeloma,,,
1969,Persons,Myeloma,,,
1970,Persons,Myeloma,,,
1971,Persons,Myeloma,,,
1972,Persons,Myeloma,,,
1973,Persons,Myeloma,,,
1974,Persons,Myeloma,,,
1975,Persons,Myeloma,,,
1976,Persons,Myeloma,,,
1977,Persons,Myeloma,,,
1978,Persons,Myeloma,,,
1979,Persons,Myeloma,,,
1980,Persons,Myeloma,,,
1981,Persons,Myeloma,,,
1982,Persons,Myeloma,0.64,0.58,0.6
1983,Persons,Myeloma,0.69,0.62,0.64
1984,Persons,Myeloma,0.71,0.68,0.69
1985,Persons,Myeloma,0.71,0.69,0.7
1986,Persons,Myeloma,0.76,0.71,0.73
1987,Persons,Myeloma,0.71,0.68,0.69
1988,Persons,Myeloma,0.74,0.7,0.71
1989,Persons,Myeloma,0.68,0.63,0.65
1990,Persons,Myeloma,0.7,0.65,0.67
1991,Persons,Myeloma,0.72,0.65,0.67
1992,Persons,Myeloma,0.71,0.65,0.68
1993,Persons,Myeloma,0.7,0.63,0.65
1994,Persons,Myeloma,0.74,0.71,0.72
1995,Persons,Myeloma,0.61,0.57,0.59
1996,Persons,Myeloma,0.64,0.62,0.62
1997,Persons,Myeloma,0.64,0.58,0.6
1998,Persons,Myeloma,0.58,0.55,0.55
1999,Persons,Myeloma,0.57,0.5,0.53
2000,Persons,Myeloma,0.61,0.57,0.58
2001,Persons,Myeloma,0.57,0.51,0.53
2002,Persons,Myeloma,0.61,0.55,0.57
2003,Persons,Myeloma,0.61,0.56,0.58
2004,Persons,Myeloma,0.64,0.57,0.59
2005,Persons,Myeloma,0.55,0.5,0.52
2006,Persons,Myeloma,0.57,0.5,0.52
2007,Persons,Myeloma,0.55,0.49,0.51
2008,Persons,Myeloma,0.62,0.54,0.57
2009,Persons,Myeloma,0.5,0.45,0.47
2010,Persons,Myeloma,0.56,0.49,0.52
2011,Persons,Myeloma,,,
1968,Male,Non-Hodgkin lymphoma,,,
1969,Male,Non-Hodgkin lymphoma,,,
1970,Male,Non-Hodgkin lymphoma,,,
1971,Male,Non-Hodgkin lymphoma,,,
1972,Male,Non-Hodgkin lymphoma,,,
1973,Male,Non-Hodgkin lymphoma,,,
1974,Male,Non-Hodgkin lymphoma,,,
1975,Male,Non-Hodgkin lymphoma,,,
1976,Male,Non-Hodgkin lymphoma,,,
1977,Male,Non-Hodgkin lymphoma,,,
1978,Male,Non-Hodgkin lymphoma,,,
1979,Male,Non-Hodgkin lymphoma,,,
1980,Male,Non-Hodgkin lymphoma,,,
1981,Male,Non-Hodgkin lymphoma,,,
1982,Male,Non-Hodgkin lymphoma,0.54,0.52,0.53
1983,Male,Non-Hodgkin lymphoma,0.59,0.53,0.54
1984,Male,Non-Hodgkin lymphoma,0.49,0.46,0.47
1985,Male,Non-Hodgkin lymphoma,0.49,0.46,0.47
1986,Male,Non-Hodgkin lymphoma,0.58,0.53,0.54
1987,Male,Non-Hodgkin lymphoma,0.48,0.45,0.46
1988,Male,Non-Hodgkin lymphoma,0.55,0.49,0.51
1989,Male,Non-Hodgkin lymphoma,0.57,0.51,0.53
1990,Male,Non-Hodgkin lymphoma,0.51,0.46,0.48
1991,Male,Non-Hodgkin lymphoma,0.49,0.46,0.47
1992,Male,Non-Hodgkin lymphoma,0.49,0.44,0.45
1993,Male,Non-Hodgkin lymphoma,0.5,0.45,0.46
1994,Male,Non-Hodgkin lymphoma,0.55,0.5,0.52
1995,Male,Non-Hodgkin lymphoma,0.51,0.45,0.47
1996,Male,Non-Hodgkin lymphoma,0.44,0.39,0.4
1997,Male,Non-Hodgkin lymphoma,0.51,0.45,0.47
1998,Male,Non-Hodgkin lymphoma,0.47,0.41,0.43
1999,Male,Non-Hodgkin lymphoma,0.46,0.41,0.43
2000,Male,Non-Hodgkin lymphoma,0.48,0.41,0.44
2001,Male,Non-Hodgkin lymphoma,0.43,0.37,0.39
2002,Male,Non-Hodgkin lymphoma,0.43,0.37,0.39
2003,Male,Non-Hodgkin lymphoma,0.4,0.35,0.36
2004,Male,Non-Hodgkin lymphoma,0.37,0.31,0.33
2005,Male,Non-Hodgkin lymphoma,0.36,0.3,0.32
2006,Male,Non-Hodgkin lymphoma,0.36,0.3,0.32
2007,Male,Non-Hodgkin lymphoma,0.35,0.29,0.31
2008,Male,Non-Hodgkin lymphoma,0.35,0.29,0.31
2009,Male,Non-Hodgkin lymphoma,0.31,0.25,0.27
2010,Male,Non-Hodgkin lymphoma,0.32,0.26,0.28
2011,Male,Non-Hodgkin lymphoma,,,
1968,Female,Non-Hodgkin lymphoma,,,
1969,Female,Non-Hodgkin lymphoma,,,
1970,Female,Non-Hodgkin lymphoma,,,
1971,Female,Non-Hodgkin lymphoma,,,
1972,Female,Non-Hodgkin lymphoma,,,
1973,Female,Non-Hodgkin lymphoma,,,
1974,Female,Non-Hodgkin lymphoma,,,
1975,Female,Non-Hodgkin lymphoma,,,
1976,Female,Non-Hodgkin lymphoma,,,
1977,Female,Non-Hodgkin lymphoma,,,
1978,Female,Non-Hodgkin lymphoma,,,
1979,Female,Non-Hodgkin lymphoma,,,
1980,Female,Non-Hodgkin lymphoma,,,
1981,Female,Non-Hodgkin lymphoma,,,
1982,Female,Non-Hodgkin lymphoma,0.48,0.44,0.46
1983,Female,Non-Hodgkin lymphoma,0.52,0.47,0.49
1984,Female,Non-Hodgkin lymphoma,0.46,0.42,0.44
1985,Female,Non-Hodgkin lymphoma,0.55,0.49,0.51
1986,Female,Non-Hodgkin lymphoma,0.55,0.49,0.51
1987,Female,Non-Hodgkin lymphoma,0.48,0.42,0.44
1988,Female,Non-Hodgkin lymphoma,0.51,0.45,0.47
1989,Female,Non-Hodgkin lymphoma,0.48,0.44,0.45
1990,Female,Non-Hodgkin lymphoma,0.52,0.45,0.47
1991,Female,Non-Hodgkin lymphoma,0.5,0.44,0.46
1992,Female,Non-Hodgkin lymphoma,0.49,0.42,0.44
1993,Female,Non-Hodgkin lymphoma,0.51,0.46,0.48
1994,Female,Non-Hodgkin lymphoma,0.48,0.42,0.44
1995,Female,Non-Hodgkin lymphoma,0.49,0.44,0.46
1996,Female,Non-Hodgkin lymphoma,0.48,0.42,0.44
1997,Female,Non-Hodgkin lymphoma,0.49,0.44,0.45
